entry_label,selector,frame,state0,state2,state4,round_byte,segment,sprite_ctrl,renderer_mode,block,actor_index,actor_address,active,actor_class,actor_flags2,actor_flags3,actor_state,record_selector,animation,world_x,world_y,base_code,flip,actor_attr,compositor_family,owned_record_start,owned_record_count,piece_records
round1_phase1,0xFF,2652,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x17,0x00,0x00,0x02,0x00,0x00,0x013E,0x00C9,0x004B,0x00,0x46,0x00,220,19,
round1_phase1,0xFF,2654,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x17,0x00,0x00,0x02,0x00,0x00,0x013C,0x00C3,0x004B,0x00,0x46,0x00,220,19,220:4046:00C7:0066:012D|221:4046:00B7:0064:012D|222:4046:00B7:004E:012D|223:4046:00A7:004C:012D|224:4046:00C7:0065:013D|225:4046:00B7:0063:013D|226:4046:00B7:004D:013D|227:4046:00A7:004B:013D
round1_phase1,0xFF,2656,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x17,0x00,0x00,0x02,0x00,0x00,0x013A,0x00BD,0x004B,0x00,0x46,0x00,220,19,220:4046:00C1:0066:012B|221:4046:00B1:0064:012B|222:4046:00B1:004E:012B|223:4046:00A1:004C:012B|224:4046:00C1:0065:013B|225:4046:00B1:0063:013B|226:4046:00B1:004D:013B|227:4046:00A1:004B:013B
round1_phase1,0xFF,2658,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x17,0x00,0x00,0x02,0x00,0x00,0x0138,0x00B7,0x004B,0x00,0x46,0x00,220,19,220:4046:00BB:0066:0129|221:4046:00AB:0064:0129|222:4046:00AB:004E:0129|223:4046:009B:004C:0129|224:4046:00BB:0065:0139|225:4046:00AB:0063:0139|226:4046:00AB:004D:0139|227:4046:009B:004B:0139
round1_phase1,0xFF,2660,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x18,0x00,0x00,0x02,0x00,0x00,0x0138,0x00B1,0x004B,0x00,0x46,0x00,220,19,220:4046:00B4:0069:0127|221:4046:00A4:0067:0127|222:4046:00A4:004E:0127|223:4046:0094:004C:0127|224:4046:00B4:0068:0137|225:4046:00A4:0063:0137|226:4046:00A4:004D:0137|227:4046:0094:004B:0137
round1_phase1,0xFF,2662,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x18,0x00,0x00,0x02,0x00,0x00,0x0136,0x00AB,0x004B,0x00,0x46,0x00,220,19,220:4046:00AE:0069:0125|221:4046:009E:0067:0125|222:4046:009E:004E:0125|223:4046:008E:004C:0125|224:4046:00AE:0068:0135|225:4046:009E:0063:0135|226:4046:009E:004D:0135|227:4046:008E:004B:0135
round1_phase1,0xFF,2664,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x18,0x00,0x00,0x02,0x00,0x00,0x0134,0x00A5,0x004B,0x00,0x46,0x00,220,19,220:4046:00A8:0069:0123|221:4046:0098:0067:0123|222:4046:0098:004E:0123|223:4046:0088:004C:0123|224:4046:00A8:0068:0133|225:4046:0098:0063:0133|226:4046:0098:004D:0133|227:4046:0088:004B:0133
round1_phase1,0xFF,2666,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x18,0x00,0x00,0x02,0x00,0x00,0x0132,0x009F,0x004B,0x00,0x46,0x00,220,19,220:4046:00A2:0069:0121|221:4046:0092:0067:0121|222:4046:0092:004E:0121|223:4046:0082:004C:0121|224:4046:00A2:0068:0131|225:4046:0092:0063:0131|226:4046:0092:004D:0131|227:4046:0082:004B:0131
round1_phase1,0xFF,2668,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x19,0x00,0x00,0x02,0x00,0x00,0x0130,0x0099,0x004B,0x00,0x46,0x00,220,19,220:4046:009D:006D:011F|221:4046:008D:006B:011F|222:4046:008D:004E:011F|223:4046:007D:004C:011F|224:4046:009D:006C:012F|225:4046:008D:006A:012F|226:4046:008D:004D:012F|227:4046:007D:004B:012F
round1_phase1,0xFF,2670,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x19,0x00,0x00,0x02,0x00,0x00,0x012E,0x0093,0x004B,0x00,0x46,0x00,220,19,220:4046:0097:006D:011F|221:4046:0087:006B:011F|222:4046:0087:004E:011F|223:4046:0077:004C:011F|224:4046:0097:006C:012F|225:4046:0087:006A:012F|226:4046:0087:004D:012F|227:4046:0077:004B:012F
round1_phase1,0xFF,2672,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x19,0x00,0x00,0x02,0x00,0x00,0x012C,0x008D,0x004B,0x00,0x46,0x00,220,19,220:4046:0091:006D:011D|221:4046:0081:006B:011D|222:4046:0081:004E:011D|223:4046:0071:004C:011D|224:4046:0091:006C:012D|225:4046:0081:006A:012D|226:4046:0081:004D:012D|227:4046:0071:004B:012D
round1_phase1,0xFF,2674,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x19,0x00,0x00,0x02,0x00,0x00,0x012A,0x0087,0x004B,0x00,0x46,0x00,220,19,220:4046:008B:006D:011B|221:4046:007B:006B:011B|222:4046:007B:004E:011B|223:4046:006B:004C:011B|224:4046:008B:006C:012B|225:4046:007B:006A:012B|226:4046:007B:004D:012B|227:4046:006B:004B:012B
round1_phase1,0xFF,2676,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x18,0x00,0x00,0x02,0x00,0x00,0x0128,0x0081,0x004B,0x00,0x46,0x00,220,19,220:4046:0084:0069:0119|221:4046:0074:0067:0119|222:4046:0074:004E:0119|223:4046:0064:004C:0119|224:4046:0084:0068:0129|225:4046:0074:0063:0129|226:4046:0074:004D:0129|227:4046:0064:004B:0129
round1_phase1,0xFF,2678,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x18,0x00,0x00,0x02,0x00,0x00,0x0128,0x007B,0x004B,0x00,0x46,0x00,220,19,220:4046:007E:0069:0117|221:4046:006E:0067:0117|222:4046:006E:004E:0117|223:4046:005E:004C:0117|224:4046:007E:0068:0127|225:4046:006E:0063:0127|226:4046:006E:004D:0127|227:4046:005E:004B:0127
round1_phase1,0xFF,2680,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x18,0x00,0x00,0x02,0x00,0x00,0x0126,0x0079,0x004B,0x00,0x46,0x00,220,19,220:4046:0079:0069:0115|221:4046:0069:0067:0115|222:4046:0069:004E:0115|223:4046:0059:004C:0115|224:4046:0079:0068:0125|225:4046:0069:0063:0125|226:4046:0069:004D:0125|227:4046:0059:004B:0125
round1_phase1,0xFF,2682,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x18,0x00,0x00,0x02,0x00,0x00,0x0124,0x0079,0x004B,0x00,0x46,0x00,220,19,220:4046:0079:0069:0113|221:4046:0069:0067:0113|222:4046:0069:004E:0113|223:4046:0059:004C:0113|224:4046:0079:0068:0123|225:4046:0069:0063:0123|226:4046:0069:004D:0123|227:4046:0059:004B:0123
round1_phase1,0xFF,2684,0x0002,0x0003,0x0000,0x01,0x0001,0x0000,0x0000,actor_2c8,8,0x10C4C8,0x01,0x17,0x00,0x00,0x02,0x00,0x00,0x0122,0x0079,0x004B,0x00,0x46,0x00,220,19,220:4046:007A:0066:0111|221:4046:006A:0064:0111|222:4046:006A:004E:0111|223:4046:005A:004C:0111|224:4046:007A:0065:0121|225:4046:006A:0063:0121|226:4046:006A:004D:0121|227:4046:005A:004B:0121
